_ID_,_NAME_,_SKU_,_PRICE_,_CATEGORY_,_QUANTITY_,_PRODUCT_IMAGES_,_MANUFACTURER_,_DESCRIPTION_,_ATTRIBUTES_,Вид (ROZETKA),Вид изделия (PROM),_MODEL_NEW
29353515,"Дkетская шапка HandMade балаклава, с ушками + украшения 54-56 см Светло-коричневый + Розовый Mar-11",Mar-11,290,"Одежда, обувь и аксессуары,Одежда,Детская одежда,Детские шапки, шарфы, перчатки,Детская шапка",1,"http://134.249.121.87/Rozetka/Photo/29353515.jpg,http://134.249.121.87/Rozetka/Photo/29353515_1.jpg,http://134.249.121.87/Rozetka/Photo/29353515_2.jpg",HandMade,"&nbsp;&nbsp; Шапка-балаклава универсального покроя.<BR>&nbsp;&nbsp; Шапка - звезда Tik-Tok. Ваш ребенок будет в восторге от такого изделия: очень телая шапка и, ко всему, одна из трендовых моделей.<BR>&nbsp;&nbsp; Размер: 54-56 см (обьем головы) - 8-14 лет.<BR>&nbsp;&nbsp; Сотав нити - плотный микрополиэстр Alize Puffy. ","8 лет,9 лет,10 лет,11 лет,12 лет,13 лет,14 лет",,,29353515
29353500,Коллекционная МОДЕЛЬ__NEWYYY+++ Kinsmart Toyota MR2 Синий KT5026W,,145,"Товары для детей,Детские игрушки,Машинки, модели техники и оружие,Коллекционная модель",2,http://134.249.121.87/Rozetka/Photo/29353500.jpg,Kinsmart,"<SPAN style=""FONT-SIZE: 16px; FONT-FAMILY: HelveticaNeueCyr; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FLOAT: none; FONT-WEIGHT: 400; COLOR: rgb(46,46,46); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; DISPLAY: inline !important; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Машинка KINSMART ""Toyota MR2"". Инерционная, металлическая, открываются двери, высокая детализация салона. Масштаб - 1:32.</SPAN> ",,Автомобили,,29353500
29353502,Коллекционная МОДЕЛЬ__NEWYYY Kinsmart Porsche Cayman S Синий KT5307W,KT5307W,145,"Товары для детей,Детские игрушки,Машинки, модели техники и оружие,Коллекционная модель",2,http://134.249.121.87/Rozetka/Photo/29353502.jpg,Kinsmart,"<SPAN style=""FONT-SIZE: 16px; FONT-FAMILY: HelveticaNeueCyr; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FLOAT: none; FONT-WEIGHT: 400; COLOR: rgb(46,46,46); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; DISPLAY: inline !important; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Машинка KINSMART ""Porsche Cayman S"". Металлическая, инерционная, резиновые колеса, открываются двери. Высокая детализация.</SPAN> ",,Автомобили,,29353502
29353504,Коллекционная МОДЕЛЬ__NEWYYY Kinsmart Porsche Cayman S Серебристый KT5307W,KT5307W,145,"Товары для детей,Детские игрушки,Машинки, модели техники и оружие,Коллекционная модель",2,http://134.249.121.87/Rozetka/Photo/29353504.jpg,Kinsmart,"<SPAN style=""FONT-SIZE: 16px; FONT-FAMILY: HelveticaNeueCyr; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FLOAT: none; FONT-WEIGHT: 400; COLOR: rgb(46,46,46); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; DISPLAY: inline !important; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Машинка KINSMART ""Porsche Cayman S"". Металлическая, инерционная, резиновые колеса, открываются двери. Высокая детализация.</SPAN> ",,Автомобили,,29353504
29353505,Коллекционная МОДЕЛЬ__NEWYYY Kinsmart Porsche Cayenne Turbo Серебристый KT5075W,KT5075W,145,"Товары для детей,Детские игрушки,Машинки, модели техники и оружие,Коллекционная модель",2,http://134.249.121.87/Rozetka/Photo/29353505.jpg,Kinsmart,"<SPAN style=""FONT-SIZE: 16px; FONT-FAMILY: HelveticaNeueCyr; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FLOAT: none; FONT-WEIGHT: 400; COLOR: rgb(46,46,46); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; DISPLAY: inline !important; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Машинка KINSMART ""Porsche Cayenne Turbo"". Инерционная, металличекая, открываются двери. Высокая детализация.</SPAN> ",,Автомобили,,29353505
29353507,Коллекционная МОДЕЛЬ__NEWYYY Kinsmart Porsche 356 B Carrera 2 красный KT5398W,KT5398W,130,"Товары для детей,Детские игрушки,Машинки, модели техники и оружие,Коллекционная модель",2,http://134.249.121.87/Rozetka/Photo/29353507.jpg,Kinsmart,"<SPAN style=""FONT-SIZE: 16px; FONT-FAMILY: HelveticaNeueCyr; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FLOAT: none; FONT-WEIGHT: 400; COLOR: rgb(46,46,46); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; DISPLAY: inline !important; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Машинка KINSMART ""Porsche 356 B Carrera 2"". Металлическая, инерционная, открываются двери, резиновые колеса. Высокая детализация. Масштаб - 1:32.</SPAN> ",,Автомобили,,29353507
29353509,Коллекционная МОДЕЛЬ__NEWYYY Kinsmart Porsche 356 B Carrera 2 синяя KT5398W,KT5398W,130,"Товары для детей,Детские игрушки,Машинки, модели техники и оружие,Коллекционная модель",2,http://134.249.121.87/Rozetka/Photo/29353509.jpg,Kinsmart,"<SPAN style=""FONT-SIZE: 16px; FONT-FAMILY: HelveticaNeueCyr; WHITE-SPACE: normal; WORD-SPACING: 0px; TEXT-TRANSFORM: none; FLOAT: none; FONT-WEIGHT: 400; COLOR: rgb(46,46,46); FONT-STYLE: normal; ORPHANS: 2; WIDOWS: 2; DISPLAY: inline !important; LETTER-SPACING: normal; TEXT-INDENT: 0px; font-variant-ligatures: normal; font-variant-caps: normal; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial"">Машинка KINSMART ""Porsche 356 B Carrera 2"". Металлическая, инерционная, открываются двери, резиновые колеса. Высокая детализация. Масштаб - 1:32.</SPAN> ",,Автомобили,,29353509
29353510,Технок набор для снеговика Красный + Синий 7730,7730,195,"Товары для детей,Детские игрушки,Развитие и творчество",2,http://134.249.121.87/Rozetka/Photo/29353510.jpg,Технок,,,,,29353510
29353512,Toysi небесный  фонарик сердце 132904,132904,45,Подарки и товары для праздников,5,http://134.249.121.87/Rozetka/Photo/29353512.jpg,Toysi,,,,,29353512
29353516,"Детская шапка HandMade балаклава, с ушками + украшения 54-56 см Черный Nat-01",Nat-01,280,"Одежда, обувь и аксессуары,Одежда,Детская одежда,Детские шапки, шарфы, перчатки,Детская шапка",1,"http://134.249.121.87/Rozetka/Photo/29353516.jpg,http://134.249.121.87/Rozetka/Photo/29353516_1.jpg,http://134.249.121.87/Rozetka/Photo/29353516_2.jpg",HandMade,"&nbsp;&nbsp; Шапка-балаклава универсального покроя - как для девочки, так и для мальчика.<BR>&nbsp;&nbsp; Шапка - звезда Tik-Tok. Ваш ребенок будет в восторге от такого изделия: очень телая шапка и, ко всему, одна из трендовых моделей.<BR>&nbsp;&nbsp; Размер: 54-56 см (обьем головы) - 8-14 лет.<BR>&nbsp;&nbsp; Сотав нити - плотный микрополиэстр Alize Puffy. ","8 лет,9 лет,10 лет,11 лет,12 лет,13 лет,14 лет",,,29353516
29353518,"Детская шапка HandMade балаклава, с ушками + украшения 54 см Черный Nat-02",Nat-02,290,"Одежда, обувь и аксессуары,Одежда,Детская одежда,Детские шапки, шарфы, перчатки,Детская шапка",1,"http://134.249.121.87/Rozetka/Photo/29353518.jpg,http://134.249.121.87/Rozetka/Photo/29353518_1.jpg,http://134.249.121.87/Rozetka/Photo/29353518_2.jpg",HandMade,"&nbsp;&nbsp; Шапка-балаклава универсального покроя - как для девочки, так и для мальчика.<BR>&nbsp;&nbsp; Шапка - звезда Tik-Tok. Ваш ребенок будет в восторге от такого изделия: очень телая шапка и, ко всему, одна из трендовых моделей.<BR>&nbsp;&nbsp; Размер: 54-56 см (обьем головы) - 8-14 лет.<BR>&nbsp;&nbsp; Сотав нити - плотный микрополиэстр Alize Puffy. ","8 лет,9 лет,10 лет,11 лет,12 лет,13 лет,14 лет",,,29353518